Deal ID,Prospect,Stage,Est MRR,Probability %,Owner,Next Step
D-0007,Verdant Organics,Proposal,52000,55,Alexis Chen (S05),Await cold-chain capacity sign-off
D-0004,Nimbus Electronics,Closed Won,110000,100,Bianca Feldman (S03),Onboarding (go-live 2026-04-15)
D-0003,Sable Goods,Closed Won,34000,100,Bianca Feldman (S03),Follow up
D-0004,Falcon Trading,Qualify,62000,15,Bianca Feldman (S03),Follow up
D-0005,Beacon Imports,Proposal,55000,55,Tomás Herrera (S02),Pricing review
D-0006,Summit Goods,Discovery,28000,30,Bianca Feldman (S03),Demo
D-0007,Beacon Brands,Closed Won,34000,100,Tomás Herrera (S02),Pricing review
D-0008,Falcon Brands,Negotiation,41000,75,Bianca Feldman (S03),Follow up
D-0009,Falcon Brands,Proposal,78000,55,Bianca Feldman (S03),Pricing review
D-0010,Cedar Goods,Qualify,28000,15,Bianca Feldman (S03),Demo
D-0011,Cedar Trading,Closed Lost,28000,0,Tomás Herrera (S02),Send SOW draft
D-0012,Harbor Brands,Closed Lost,34000,0,Tomás Herrera (S02),Follow up
D-0013,Sable Supply,Proposal,55000,55,Bianca Feldman (S03),Send SOW draft
D-0014,Onyx Imports,Closed Lost,28000,0,Alexis Chen (S05),Demo
D-0015,Sable Supply,Closed Lost,28000,0,Tomás Herrera (S02),Demo
D-0016,Onyx Trading,Discovery,41000,30,Tomás Herrera (S02),Demo
D-0017,Onyx Imports,Negotiation,28000,75,Tomás Herrera (S02),Pricing review
D-0018,Harbor Imports,Negotiation,55000,75,Alexis Chen (S05),Demo
D-0019,Willow Supply,Qualify,78000,15,Bianca Feldman (S03),Pricing review
D-0020,Willow Goods,Discovery,55000,30,Tomás Herrera (S02),Pricing review
D-0021,Willow Goods,Negotiation,41000,75,Tomás Herrera (S02),Send SOW draft
D-0022,Harbor Trading,Closed Lost,62000,0,Bianca Feldman (S03),Demo
D-0023,Summit Trading,Qualify,62000,15,Tomás Herrera (S02),Demo
D-0024,Cedar Trading,Qualify,62000,15,Tomás Herrera (S02),Send SOW draft
D-0025,Harbor Brands,Qualify,41000,15,Alexis Chen (S05),Pricing review
D-0026,Summit Supply,Closed Lost,62000,0,Bianca Feldman (S03),Demo
D-0027,Summit Brands,Qualify,34000,15,Bianca Feldman (S03),Send SOW draft
D-0028,Sable Trading,Closed Won,55000,100,Bianca Feldman (S03),Follow up
D-0029,Falcon Imports,Closed Won,28000,100,Tomás Herrera (S02),Demo
D-0030,Cedar Trading,Discovery,34000,30,Bianca Feldman (S03),Pricing review
D-0031,Onyx Brands,Qualify,34000,15,Bianca Feldman (S03),Demo
D-0032,Cedar Trading,Closed Lost,62000,0,Bianca Feldman (S03),Follow up
D-0033,Summit Goods,Discovery,28000,30,Bianca Feldman (S03),Follow up
D-0034,Willow Goods,Qualify,41000,15,Alexis Chen (S05),Follow up
D-0035,Falcon Trading,Negotiation,41000,75,Bianca Feldman (S03),Demo
D-0036,Sable Supply,Discovery,62000,30,Tomás Herrera (S02),Pricing review
D-0037,Sable Goods,Negotiation,41000,75,Alexis Chen (S05),Demo
D-0038,Harbor Trading,Negotiation,78000,75,Tomás Herrera (S02),Send SOW draft
D-0039,Sable Goods,Closed Lost,78000,0,Alexis Chen (S05),Pricing review
D-0040,Summit Trading,Closed Won,62000,100,Tomás Herrera (S02),Send SOW draft
D-0041,Sable Brands,Proposal,62000,55,Bianca Feldman (S03),Pricing review
D-0042,Sable Supply,Negotiation,62000,75,Alexis Chen (S05),Follow up
D-0043,Onyx Supply,Closed Lost,41000,0,Alexis Chen (S05),Demo
